timestamp num bytes from host ip seq ttl ping ms
2014-11-25@19:59:01 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3563 ttl=245 time=18.9 ms
2014-11-25@19:59:02 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3564 ttl=245 time=18.0 ms
2014-11-25@19:59:03 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3565 ttl=245 time=129 ms
2014-11-25@19:59:04 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3566 ttl=245 time=105 ms
2014-11-25@19:59:05 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3567 ttl=245 time=86.5 ms
2014-11-25@19:59:06 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3568 ttl=245 time=195 ms
2014-11-25@19:59:07 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3569 ttl=245 time=101 ms
2014-11-25@19:59:08 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3570 ttl=245 time=82.1 ms
2014-11-25@19:59:09 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3571 ttl=245 time=47.2 ms
2014-11-25@19:59:10 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3572 ttl=245 time=81.3 ms
2014-11-25@19:59:11 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3573 ttl=245 time=20.9 ms
2014-11-25@19:59:12 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3574 ttl=245 time=156 ms
2014-11-25@19:59:13 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3575 ttl=245 time=35.5 ms
2014-11-25@19:59:14 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3576 ttl=245 time=13.1 ms
2014-11-25@19:59:15 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3577 ttl=245 time=67.8 ms
2014-11-25@19:59:16 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3578 ttl=245 time=84.5 ms
2014-11-25@19:59:17 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3579 ttl=245 time=131 ms
2014-11-25@19:59:18 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3580 ttl=245 time=93.3 ms
2014-11-25@19:59:19 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3581 ttl=245 time=118 ms
2014-11-25@19:59:20 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3582 ttl=245 time=66.9 ms
2014-11-25@19:59:21 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3583 ttl=245 time=14.3 ms
2014-11-25@19:59:22 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3584 ttl=245 time=101 ms
2014-11-25@19:59:23 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3585 ttl=245 time=111 ms
2014-11-25@19:59:24 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3586 ttl=245 time=101 ms
2014-11-25@19:59:25 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3587 ttl=245 time=32.3 ms
2014-11-25@19:59:26 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3588 ttl=245 time=108 ms
2014-11-25@19:59:27 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3589 ttl=245 time=21.3 ms
2014-11-25@19:59:28 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3590 ttl=245 time=250 ms
2014-11-25@19:59:29 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3591 ttl=245 time=27.4 ms
2014-11-25@19:59:30 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3592 ttl=245 time=123 ms
2014-11-25@19:59:31 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3593 ttl=245 time=84.9 ms
2014-11-25@19:59:32 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3594 ttl=245 time=33.4 ms
2014-11-25@19:59:33 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3595 ttl=245 time=82.2 ms
2014-11-25@19:59:34 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3596 ttl=245 time=42.1 ms
2014-11-25@19:59:35 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3597 ttl=245 time=81.8 ms
2014-11-25@19:59:36 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3598 ttl=245 time=78.9 ms
2014-11-25@19:59:37 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3599 ttl=245 time=123 ms
2014-11-25@19:59:38 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3600 ttl=245 time=12.7 ms
2014-11-25@19:59:39 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3601 ttl=245 time=72.0 ms
2014-11-25@19:59:40 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3602 ttl=245 time=120 ms
2014-11-25@19:59:41 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3603 ttl=245 time=35.5 ms
2014-11-25@19:59:42 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3604 ttl=245 time=13.4 ms
2014-11-25@19:59:43 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3605 ttl=245 time=168 ms
2014-11-25@19:59:44 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3606 ttl=245 time=15.3 ms
2014-11-25@19:59:45 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3607 ttl=245 time=36.8 ms
2014-11-25@19:59:46 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3608 ttl=245 time=41.5 ms
2014-11-25@19:59:47 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3609 ttl=245 time=40.1 ms
2014-11-25@19:59:48 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3610 ttl=245 time=139 ms
2014-11-25@19:59:49 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3611 ttl=245 time=154 ms
2014-11-25@19:59:50 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3612 ttl=245 time=155 ms
2014-11-25@19:59:51 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3613 ttl=245 time=52.1 ms
2014-11-25@19:59:52 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3614 ttl=245 time=70.0 ms
2014-11-25@19:59:53 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3615 ttl=245 time=51.9 ms
2014-11-25@19:59:54 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3616 ttl=245 time=88.8 ms
2014-11-25@19:59:55 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3617 ttl=245 time=14.2 ms
2014-11-25@19:59:56 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3618 ttl=245 time=109 ms
2014-11-25@19:59:57 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3619 ttl=245 time=131 ms
2014-11-25@19:59:58 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3620 ttl=245 time=76.9 ms
2014-11-25@19:59:59 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3621 ttl=245 time=13.3 ms
